model,skup,seed,tacnost,roc_auc,log_loss,brier
M4 LSTM,trening,7,0.6724519124474906,0.7162847022800285,0.6011282513125107,0.207363201626575
M4 LSTM,trening,17,0.6753261109882821,0.7190610882795859,0.5995514202262311,0.2065958655060212
M4 LSTM,trening,27,0.6721202741543224,0.713360453762328,0.6035995073944913,0.2083746450782328
M4 LSTM,trening,37,0.6737231925713022,0.719020254301899,0.5995221603260295,0.2066220058954326
M4 LSTM,trening,47,0.670296263541897,0.713115513520354,0.6050695098854405,0.2090348432637309
M4 LSTM,validacija,7,0.6570121951219512,0.6973243234326402,0.6171240560589067,0.2141243769896651
M4 LSTM,validacija,17,0.6543445121951219,0.6976227538983417,0.6173463476541796,0.2141004031753266
M4 LSTM,validacija,27,0.6558689024390244,0.694137266017018,0.6197177338008022,0.2152131340911642
M4 LSTM,validacija,37,0.6558689024390244,0.6991490982601054,0.6162228676879606,0.213684258517977
M4 LSTM,validacija,47,0.6596798780487805,0.696418834411582,0.6181132086719877,0.2144107825188528
M3 RNN,trening,7,0.6708489940305107,0.7127602044701944,0.6034543860813536,0.2083866987983169
M3 RNN,trening,17,0.6693566217112535,0.712315624379068,0.6040523361522484,0.2085958726551017
M3 RNN,trening,27,0.6723413663497678,0.7132062288294626,0.6030480590035276,0.2082014094042725
M3 RNN,trening,37,0.6707937209816494,0.7138721764160173,0.6033861119245476,0.2082618937831184
M3 RNN,trening,47,0.672065001105461,0.7137847504753201,0.603549231697778,0.2083746002703181
M3 RNN,validacija,7,0.6551067073170732,0.6967418591468187,0.6175155402209513,0.2141976181083351
M3 RNN,validacija,17,0.6604420731707317,0.696407137137047,0.6180216628098425,0.2144018823770743
M3 RNN,validacija,27,0.65625,0.6957895810276205,0.6184905323259381,0.214633407726584
M3 RNN,validacija,37,0.6596798780487805,0.6978234071461349,0.6169538749027214,0.2139925528249626
M3 RNN,validacija,47,0.6577743902439024,0.6972055511065922,0.6174609115118894,0.2142115744338796
M5 GRU,trening,7,0.675160291841698,0.7214829350811649,0.5977395282233977,0.2058923014910639
M5 GRU,trening,17,0.6758235684280345,0.7182364557074455,0.6006804801872021,0.2070506284502541
M5 GRU,trening,27,0.6738890117178864,0.7164230211760885,0.6010353508086712,0.2073164995964991
M5 GRU,trening,37,0.6732810081804113,0.71825616010584,0.6000492951931198,0.2068426890330847
M5 GRU,trening,47,0.6708489940305107,0.7130607522168402,0.6054200183354346,0.2091681538430595
M5 GRU,validacija,7,0.6600609756097561,0.6984952506066087,0.6163654520393242,0.2138647261567281
M5 GRU,validacija,17,0.65625,0.6979133861810197,0.6167261870819563,0.2138634379231622
M5 GRU,validacija,27,0.6608231707317073,0.6953117923523819,0.6191707790164731,0.2149268835260314
M5 GRU,validacija,37,0.6554878048780488,0.6989523441038239,0.6163360567377176,0.2136888613696369
M5 GRU,validacija,47,0.6566310975609756,0.6968906244844951,0.6181114918249665,0.2143564764478806
