model,skup,tacnost,roc_auc,log_loss,brier
M0 domacin,trening,0.5995467609993367,0.5,0.6731950116934886,0.2400904423745417
M0 domacin,validacija,0.588795731707317,0.5,0.6775338808052399,0.2422309032876193
M1 log. reg.,trening,0.6724519124474906,0.7148983766489709,0.6019360920027496,0.2077245154758467
M1 log. reg.,validacija,0.65625,0.695322589836568,0.6203637797725378,0.2153628758857996
M2 XGBoost,trening,0.6833959761220428,0.7317993869558919,0.5908119396337753,0.2028573706461434
M2 XGBoost,validacija,0.6570121951219512,0.699032125514755,0.6166674845969101,0.2137561202297535
M4 LSTM,trening,0.6727835507406589,0.7161684024288391,0.6017741698289406,0.2075981122739985
M4 LSTM,validacija,0.6565548780487804,0.6969304552039374,0.6177048427747673,0.2143065910585971
M3 RNN,trening,0.6710811408357285,0.7131877969140125,0.6034980249718911,0.2083640949822255
M3 RNN,validacija,0.6578506097560975,0.6967935071128427,0.6176885043542686,0.2142874070941671
M5 GRU,trening,0.6738005748397082,0.7174918648574758,0.600984934549565,0.2072540544827922
M5 GRU,validacija,0.6578506097560977,0.6975126795456659,0.6173419933400875,0.21414007708468788
M0 domacin,test,0.5479969765684052,0.5,0.6939993236630261,0.250353673517804
M1 log. reg.,test,0.6417233560090703,0.680452081651482,0.651846586079169,0.2288260552192457
M2 XGBoost,test,0.6394557823129252,0.6789182331910968,0.6486846691998334,0.2275119470410825
M3 RNN,test,0.6498866213151928,0.6790815361549996,0.6444090302210038,0.225688158983538
M4 LSTM,test,0.6444444444444444,0.6807459347249452,0.6444242699920082,0.2259214494334148
M5 GRU,test,0.6402116402116402,0.6793311036789299,0.6446605389909508,0.22596080323508247
